X-coordinate;Y-coordinate;R-Radius;Count
17000000000000000;2520000000000000;10500000000000000;251
161000000000000;12200000000000000;11000000000000000;408
9750000000000000;12400000000000000;10100000000000000;468
7730000000000000;23200000000000000;10400000000000000;53
798000000000000;24100000000000000;10400000000000000;48
8680000000000000;23900000000000000;10300000000000000;50
8530000000000000;1460000000000000;1070000000000000;323
16600000000000000;11400000000000000;1070000000000000;308
7950000000000000;23600000000000000;1060000000000000;53
8060000000000000;14400000000000000;10800000000000000;354
8560000000000000;1320000000000000;10900000000000000;465
9700000000000000;13300000000000000;10400000000000000;412
10500000000000000;13700000000000000;1070000000000000;440
9440000000000000;1320000000000000;10900000000000000;479
14900000000000000;11400000000000000;10100000000000000;340
17000000000000000;2540000000000000;10600000000000000;253
10000000000000000;1390000000000000;1030000000000000;369
6290000000000000;22300000000000000;10400000000000000;53
14200000000000000;11000000000000000;10800000000000000;449
7820000000000000;14500000000000000;10900000000000000;361
19000000000000000;2570000000000000;10300000000000000;269
15300000000000000;23100000000000000;10000000000000000;261
8820000000000000;14400000000000000;10900000000000000;374
7840000000000000;14600000000000000;10900000000000000;351
14800000000000000;11900000000000000;10200000000000000;376
9020000000000000;14900000000000000;10500000000000000;296
8020000000000000;13800000000000000;10800000000000000;400
8770000000000000;14400000000000000;10300000000000000;311
15500000000000000;7420000000000000;10800000000000000;285
9110000000000000;1610000000000000;100000000000000;198
10300000000000000;1210000000000000;10100000000000000;509
988000000000000;125000000000000;10900000000000000;541
10900000000000000;14700000000000000;10100000000000000;317
18000000000000000;25200000000000000;10600000000000000;268
7200000000000000;238000000000000;10400000000000000;46
11100000000000000;1300000000000000;10400000000000000;480
715000000000000;14300000000000000;1030000000000000;310
680000000000000;2190000000000000;10500000000000000;62
17200000000000000;2560000000000000;1090000000000000;259
11000000000000000;13300000000000000;1090000000000000;529
9070000000000000;1480000000000000;10600000000000000;309
9780000000000000;1370000000000000;10700000000000000;413
8010000000000000;22600000000000000;10000000000000000;55
919000000000000;14300000000000000;1080000000000000;373
7530000000000000;22800000000000000;10700000000000000;59
8010000000000000;22600000000000000;100000000000000;55
14700000000000000;11600000000000000;10800000000000000;432
8630000000000000;1460000000000000;105000000000000;306
1730000000000000;24400000000000000;1040000000000000;264
5460000000000000;22900000000000000;10100000000000000;26
9520000000000000;16100000000000000;10700000000000000;249
6460000000000000;22800000000000000;10000000000000000;36
6560000000000000;23200000000000000;10800000000000000;50
927000000000000;1760000000000000;1070000000000000;165
965000000000000;15600000000000000;10100000000000000;236
7210000000000000;2160000000000000;10800000000000000;77
16300000000000000;26100000000000000;10900000000000000;245
954000000000000;14300000000000000;1010000000000000;302
8070000000000000;14500000000000000;10200000000000000;292
9800000000000000;1470000000000000;1050000000000000;313
8170000000000000;23300000000000000;10900000000000000;59
