X-coordinate;Y-coordinate;R-Radius
9000000000000000;-1620000000000000;351000000000000
3260000000000000;-570000000000;38000000000000000
46900000000000;-543000000000000;29300000000000000
7960000000000000;-29800000000000000;4170000000000000
11200000000000000;-9270000000000000;3490000000000000
3300000000000000;-695000000000;45400000000000000
1040000000000000;-7280000000000000;25100000000000000
331000000000000;-13800000000000000;39600000000000000
7920000000000000;-18900000000000000;355000000000000
324000000000000;-11900000000000000;4280000000000000
4380000000000000;-5990000000000000;49000000000000000
3130000000000000;-6470000000000000;2350000000000000
10200000000000000;-8220000000000000;3390000000000000
31500000000000000;-18000000000000000;2880000000000000
3390000000000000;-4830000000000000;41500000000000000
10600000000000000;-19500000000000000;15700000000000000
10300000000000000;-8660000000000000;48300000000000000
37700000000000000;-6750000000000000;5060000000000000
32000000000000000;-5800000000000000;3640000000000000
3200000000000000;-12300000000000000;2290000000000000
46500000000000000;-60600000000000000;427000000000000
31700000000000000;-14700000000000000;4200000000000000
3280000000000000;-1400000000000000;3790000000000000
47500000000000000;-8340000000000000;23200000000000000
9490000000000000;-8520000000000000;23000000000000000
10900000000000000;-18200000000000000;4680000000000000
10100000000000000;-2030000000000000;54200000000000
973000000000000;-3260000000000000;4000000000000000
9210000000000000;-24700000000000000;35900000000000000
1080000000000000;-9250000000000000;4880000000000000
34700000000000000;-15600000000000000;42100000000000000
32600000000000000;-13700000000000000;3720000000000000
3150000000000000;-6570000000000000;46400000000000000
8540000000000000;-23100000000000000;3490000000000000
10900000000000000;-10300000000000000;3010000000000000
10700000000000000;-2680000000000000;19600000000000000
3410000000000000;5710000000000000;3720000000000000
3140000000000000;-1460000000000000;35700000000000000
26400000000000000;-5980000000000000;525000000000000
10900000000000000;-3280000000000000;20300000000000000
46400000000000000;-6340000000000000;30500000000000000
3260000000000000;-14800000000000000;23600000000000000
3150000000000000;-14600000000000000;2980000000000000
35100000000000000;-26400000000000000;4460000000000000
11000000000000000;-29800000000000000;3410000000000000
30700000000000000;-14700000000000000;46900000000000000
3330000000000000;-17200000000000000;349000000000000
35400000000000000;-9700000000000000;41400000000000000
3120000000000000;-1530000000000000;5310000000000000
11900000000000000;-7550000000000000;358000000000000
11600000000000000;-20500000000000000;3750000000000000
3420000000000000;-8880000000000000;33800000000000000
33700000000000000;-13500000000000000;3450000000000000
3120000000000000;-156000000000000;2520000000000000
1290000000000000;-812000000000000;36200000000000000
8660000000000000;-20600000000000000;4730000000000000
31700000000000000;-1510000000000000;4900000000000000
33400000000000;-6760000000000000;4100000000000000
11000000000000000;-8180000000000000;300000000000000
11600000000000000;-715000000000000;15400000000000000
3190000000000000;-13300000000000000;3740000000000000
9490000000000000;-3490000000000000;46100000000000000
11400000000000000;-8350000000000000;303000000000000
9860000000000000;-25500000000000000;33800000000000000
4710000000000000;-61600000000000000;4640000000000000
9740000000000000;-7960000000000000;4300000000000000
34400000000000000;-15500000000000000;35200000000000000
333000000000000;-3210000000000000;2310000000000000
10400000000000000;-6100000000000000;22900000000000000
3580000000000000;-16600000000000000;4380000000000000
3430000000000000;-3390000000000000;5340000000000000
3370000000000000;-14500000000000000;420000000000000
3580000000000000;-48500000000000000;3380000000000000
1120000000000000;-7840000000000000;44500000000000000
30800000000000000;-14800000000000000;4730000000000000
11200000000000000;-9140000000000000;48500000000000000
3230000000000000;-11600000000000000;27200000000000000
32200000000000000;-6500000000000000;3450000000000000
4550000000000000;-6820000000000000;21800000000000000
979000000000000;-12300000000000000;3100000000000000
33000000000000000;-42000000000000000;1560000000000000
7850000000000000;-7890000000000000;4500000000000000
35200000000000000;-5950000000000000;2300000000000000
34100000000000000;-271000000000000;5430000000000000
3170000000000000;-19100000000000000;3870000000000000
9580000000000000;-8700000000000000;5510000000000000
4940000000000000;-5730000000000000;41000000000000000
9700000000000000;-8250000000000000;3690000000000000
33100000000000000;-13400000000000000;5520000000000000
4930000000000000;-6640000000000000;3410000000000000
32000000000000000;-1280000000000000;38700000000000000
9790000000000000;-3870000000000000;45000000000000000
33400000000000000;-138000000000000;2940000000000000
3400000000000000;-13800000000000000;29400000000000000
3330000000000000;-644000000000;18100000000000000
33200000000000000;-17500000000000000;4000000000000000
20800000000000000;-5240000000000000;20200000000000000
8620000000000000;-21500000000000000;31900000000000000
32400000000000000;-13900000000000000;3060000000000000
9310000000000000;-2210000000000000;4960000000000000
4160000000000000;-5870000000000000;35700000000000000
57500000000000000;-4860000000000000;3540000000000000
4120000000000000;-5830000000000000;3360000000000000
9560000000000000;-937000000000000;3610000000000000
3060000000000000;-12300000000000000;4420000000000000
7710000000000000;-6340000000000000;256000000000000
4830000000000000;-630000000000000;48900000000000000
9280000000000000;-18800000000000000;11900000000000000
32600000000000000;-12400000000000000;1050000000000000
3350000000000000;-1460000000000000;5440000000000000
3390000000000000;-56300000000000000;350000000000000
9620000000000000;-635000000000000;47400000000000000
11500000000000000;-7440000000000000;17100000000000
11000000000000000;-678000000000000;3240000000000000
9880000000000000;-7630000000000000;3510000000000000
10900000000000000;-9120000000000000;33300000000000000
33300000000000000;-13600000000000000;4590000000000000
11000000000000000;-8390000000000000;3090000000000000
9040000000000000;-8520000000000000;3180000000000000
4980000000000000;-5000000000000000;5020000000000000
3500000000000000;-5390000000000000;40900000000000000
10200000000000000;-24700000000000000;38000000000000000
3190000000000000;-1540000000000000;37700000000000000
34000000000000;-71500000000000000;41700000000000000
33300000000000000;-14400000000000000;4930000000000000
9410000000000000;-5280000000000000;5270000000000000
11000000000000000;-54400000000000000;23200000000000000
34300000000000000;-654000000000000;40300000000000000
11000000000000000;-84500000000000;25700000000000000
34200000000000000;-1170000000000000;3900000000000000
11200000000000000;-996000000000000;3160000000000000
10400000000000000;-7650000000000000;31100000000000000
3200000000000000;-15200000000000000;353000000000000
9800000000000000;-3540000000000000;3160000000000000
883000000000000;-6550000000000000;5340000000000000
3450000000000000;10500000000000000;35500000000000000
9980000000000000;-11900000000000000;18000000000000000
9930000000000000;-3300000000000000;41000000000000000
11200000000000000;-7380000000000000;4250000000000000
10500000000000000;-22700000000000000;3150000000000000
3520000000000000;-1490000000000000;32600000000000000
3450000000000000;-6220000000000000;3740000000000000
10300000000000000;-10400000000000000;2620000000000000
9350000000000000;-820000000000000;34600000000000000
30100000000000000;-5750000000000000;30300000000000000
34100000000000000;4370000000000000;4830000000000000
11200000000000000;-22500000000000000;37600000000000000
8680000000000000;-16300000000000000;4090000000000000
34500000000000000;-30600000000000000;5340000000000000
3450000000000000;-4800000000000000;5750000000000000
25600000000000000;-53000000000000000;44500000000000000
33000000000000000;-1870000000000000;3660000000000000
3470000000000000;-6160000000000000;3160000000000000
10000000000000000;-8820000000000000;27800000000000000
4860000000000000;-5530000000000000;4670000000000000
33400000000000000;-1950000000000000;47200000000000000
8300000000000000;-8930000000000000;44900000000000000
31500000000000000;-13900000000000000;38400000000000000
32900000000000000;-108000000000000;33300000000000000
3250000000000000;-14800000000000000;3380000000000000
34600000000000000;-11500000000000000;5280000000000000
9250000000000000;-24300000000000000;5680000000000000
11700000000000000;-6180000000000000;24100000000000000
1260000000000000;-7600000000000000;33400000000000000
10800000000000000;-936000000000000;5910000000000000
3350000000000000;-7380000000000000;35500000000000000
34800000000000000;-5250000000000000;26500000000000000
3220000000000000;-1440000000000000;5050000000000000
9310000000000000;-6550000000000000;2770000000000000
10400000000000000;-8430000000000000;4880000000000000
8550000000000000;-8800000000000000;2800000000000000
8490000000000000;-12400000000000000;3350000000000000
10500000000000000;-14400000000000000;6430000000000000
30100000000000000;-1480000000000000;3120000000000000
3980000000000000;-6380000000000000;5420000000000000
954000000000000;-22600000000000000;3490000000000000
33400000000000000;-7480000000000000;4890000000000000
12800000000000000;-7820000000000000;49300000000000000
8760000000000000;-3510000000000000;43000000000000000
31900000000000000;-15600000000000000;2670000000000000
10500000000000000;10300000000000;5400000000000000
9200000000000000;-8250000000000000;46800000000000000
3290000000000000;-240000000000000;3700000000000000
918000000000000;-7230000000000000;28300000000000
11200000000000000;-27400000000000000;5450000000000000
4850000000000000;-6610000000000000;4850000000000000
31500000000000000;-12800000000000000;2530000000000000
931000000000000;-8740000000000000;3180000000000000
32900000000000000;-14800000000000000;4240000000000000
1050000000000000;-9950000000000000;4620000000000000
33300000000000000;-1430000000000000;20600000000000000
4240000000000000;-5810000000000000;41100000000000000
10000000000000000;-2410000000000000;5230000000000000
3410000000000000;-4420000000000000;4840000000000000
955000000000000;-13600000000000000;37000000000000000
4930000000000000;-6020000000000000;2510000000000000
12000000000000000;-10300000000000000;4550000000000000
33100000000000000;-13800000000000000;3510000000000000
11300000000000000;-9410000000000000;3890000000000000
10900000000000000;-25100000000000000;2510000000000000
9390000000000000;-3250000000000000;37400000000000000
3520000000000000;-5660000000000000;3120000000000000
9430000000000000;-8080000000000000;42600000000000000
11400000000000000;-6960000000000000;21200000000000000
9620000000000000;-764000000000000;4930000000000000
11600000000000000;-4630000000000000;2930000000000000
3420000000000000;-6670000000000000;4330000000000000
10300000000000000;-7440000000000000;37500000000000000
3340000000000000;-14000000000000000;36900000000000000
50300000000000000;-6380000000000000;4430000000000000
3280000000000000;-34100000000000000;3790000000000000
3300000000000000;-2740000000000000;5150000000000000
10800000000000000;27800000000000000;41000000000000000
3230000000000000;-1500000000000000;2600000000000000
33500000000000000;-22100000000000000;37100000000000000
10300000000000000;-220000000000;33800000000000000
35300000000000000;-23500000000000000;267000000000000
924000000000000;-28100000000000000;18400000000000000
3420000000000000;-13500000000000000;16000000000000000
11600000000000000;-7910000000000000;3640000000000000
40000000000000000;-52900000000000000;321000000000000
10100000000000000;-1840000000000000;5150000000000000
352000000000000;-45800000000000000;5160000000000000
3240000000000000;-1430000000000000;5060000000000000
31100000000000000;-14900000000000000;3790000000000000
33300000000000000;-13000000000000000;19300000000000000
30900000000000000;-6570000000000000;49000000000000000
11300000000000000;-265000000000;46100000000000000
35300000000000000;-659000000000000;3730000000000000
817000000000000;-15500000000000000;4530000000000000
31700000000000000;-13300000000000000;26800000000000000
31100000000000000;-15800000000000000;4050000000000000
325000000000000;-139000000000000;37100000000000000
31200000000000000;-730000000000000;4560000000000000
32800000000000000;-12900000000000000;3780000000000000
8970000000000000;-21100000000000000;4730000000000000
3480000000000000;3690000000000;1570000000000000
4200000000000000;-4900000000000000;17900000000000000
11200000000000000;-8100000000000000;26000000000000000
2560000000000000;-45500000000000000;42600000000000000
34600000000000000;-66500000000000;387000000000000
3150000000000000;-12700000000000000;24500000000000000
30900000000000000;-1300000000000000;4020000000000000
9750000000000000;-917000000000000;2660000000000000
3320000000000000;-14500000000000000;5130000000000000
3240000000000000;-1480000000000000;2730000000000000
3540000000000000;-20100000000000000;2800000000000000
974000000000000;-7610000000000000;28700000000000000
3290000000000000;-10800000000000000;3800000000000000
32100000000000000;-15100000000000000;2780000000000000
3460000000000000;-54200000000000000;3570000000000000
3410000000000000;-6280000000000000;22500000000000000
12500000000000000;-8060000000000000;37000000000000000
8980000000000000;-21600000000000000;32000000000000000
3270000000000000;-14500000000000000;25100000000000000
4520000000000000;-7210000000000000;2810000000000000
383000000000000;-6230000000000000;30900000000000000
8900000000000000;-18300000000000000;27000000000000000
1120000000000000;-8920000000000000;29800000000000000
9180000000000000;-29600000000000000;2860000000000000
11200000000000000;-8800000000000000;37200000000000000
33000000000000000;-16000000000000000;3190000000000000
3210000000000000;-13600000000000000;27500000000000000
9680000000000000;-29000000000000000;37700000000000000
33300000000000000;-7860000000000000;479000000000000
9760000000000000;-23400000000000000;4370000000000000
3320000000000000;-13700000000000000;5620000000000000
8170000000000000;-27700000000000;4620000000000000
4140000000000000;-6600000000000000;33000000000000000
31100000000000000;-6430000000000000;3760000000000000
9750000000000000;-2330000000000000;4020000000000000
12000000000000000;-664000000000000;42200000000000000
9280000000000000;-7250000000000000;32700000000000000
10000000000000000;-9180000000000000;2720000000000000
3710000000000000;-55300000000000000;3220000000000000
3390000000000000;-34700000000000000;2710000000000000
34500000000000000;-14100000000000000;4810000000000000
33800000000000000;1180000000000;4300000000000000
13100000000000000;-7050000000000000;3520000000000000
9340000000000000;-7360000000000000;3200000000000000
39600000000000000;-6320000000000000;515000000000000
3330000000000000;-13100000000000000;35800000000000000
9930000000000000;-33900000000000000;42200000000000000
3320000000000000;-1920000000000000;39000000000000000
14100000000000000;-6210000000000000;2660000000000000
10000000000000000;-31800000000000000;2780000000000000
3240000000000000;-24400000000000000;2950000000000000
12300000000000000;-8030000000000000;46400000000000000
32500000000000000;-10700000000000000;4360000000000000
4140000000000000;-59300000000000000;6040000000000000
10300000000000000;-8030000000000000;4430000000000000
10600000000000000;-1780000000000000;3530000000000000
9970000000000000;-6340000000000000;4570000000000000
5550000000000000;-3220000000000000;3890000000000000
33500000000000000;250000000000;43700000000000000
33400000000000000;-4640000000000000;5070000000000000
34900000000000000;5700000000000000;35500000000000000
29400000000000000;-7380000000000000;40900000000000000
11600000000000000;-10300000000000000;3450000000000000
10600000000000000;-12200000000000000;3850000000000000
9490000000000000;-7100000000000000;39000000000000000
3330000000000000;-14700000000000000;4570000000000000
956000000000000;-28200000000000000;3590000000000000
3610000000000000;-4910000000000000;44200000000000000
46100000000000000;-5150000000000000;3500000000000000
8420000000000000;-7300000000000000;42500000000000000
9160000000000000;-842000000000000;5980000000000000
1060000000000000;-8600000000000000;4380000000000000
3720000000000000;-7090000000000000;4270000000000000
33200000000000000;-15700000000000000;18900000000000000
2990000000000000;-7100000000000000;550000000000000
9070000000000000;-11200000000000000;24400000000000000
3250000000000000;-14400000000000000;2920000000000000
1010000000000000;-10100000000000;40700000000000000
34600000000000000;-23200000000000000;385000000000000
9430000000000000;-12300000000000000;48500000000000000
5950000000000000;-3980000000000000;2580000000000000
338000000000000;-48929475921;6610000000000000
9230000000000000;-7980000000000000;4680000000000000
10400000000000000;-9480000000000000;3450000000000000
11400000000000000;-10300000000000000;31400000000000000
900000000000000;-1130000000000000;37800000000000000
3340000000000000;-181000000000000;4510000000000000
33000000000000000;-2190000000000000;46100000000000000
349000000000000;-15300000000000000;6890000000000000
9620000000000000;-14100000000000000;3590000000000000
3350000000000000;-13400000000000000;4300000000000000
47600000000000000;-6650000000000000;26100000000000000
3370000000000000;-22400000000000000;3930000000000000
3410000000000000;-1120000000000000;3980000000000000
8040000000000000;-29400000000000000;26700000000000000
44900000000000000;-5450000000000000;4990000000000000
3280000000000000;-5570000000000000;5770000000000000
6860000000000000;-506000000000000;33500000000000000
5610000000000000;-57300000000000;3570000000000000
30100000000000000;-5960000000000000;35200000000000000
3200000000000000;-12400000000000000;47300000000000000
506000000000000;-62200000000000000;4910000000000000
3470000000000000;-1640000000000000;4020000000000000
10000000000000000;-9330000000000000;5640000000000000
3540000000000000;-21200000000000000;3540000000000000
80000000000000;-259000000000000;37800000000000000
11300000000000000;-820000000000000;42000000000000000
34500000000000;-884000000000000;4220000000000000
31900000000000000;-1300000000000000;5080000000000000
12300000000000000;-16900000000000000;2970000000000000
33000000000000000;-14300000000000000;5020000000000000
3150000000000000;-1420000000000000;250000000000000
3510000000000000;-1330000000000000;3000000000000000
9970000000000000;-27100000000000000;4720000000000000
3480000000000000;3900000000000;3240000000000000
8660000000000000;-6790000000000000;34400000000000000
3360000000000000;-5060000000000000;3960000000000000
11600000000000000;-8900000000000000;4940000000000000
33500000000000000;-13300000000000000;44900000000000000
10000000000000000;-2490000000000000;4730000000000000
315000000000000;-1440000000000000;4290000000000000
5360000000000000;-6180000000000000;36000000000000000
9660000000000000;-4030000000000000;47800000000000000
36500000000000000;-7760000000000000;35500000000000000
4810000000000000;-5980000000000000;5110000000000000
8100000000000000;-25500000000000000;3530000000000000
33700000000000000;-15300000000000000;45200000000000000
11300000000000000;-8530000000000000;3730000000000000
3400000000000000;-5610000000000000;5720000000000000
10100000000000000;-20300000000000000;3510000000000000
3200000000000000;-15000000000000000;37200000000000000
8770000000000000;-8640000000000000;28100000000000000
32600000000000000;-1940000000000000;48700000000000000
3510000000000000;-14500000000000000;31300000000000000
11300000000000000;-9690000000000000;48600000000000000
3580000000000000;-13200000000000000;3680000000000000
11300000000000000;-764000000000000;24300000000000000
10000000000000000;-9960000000000000;5420000000000000
3280000000000000;-1450000000000000;2620000000000000
5780000000000000;-59900000000000000;36700000000000000
32700000000000000;-12700000000000000;39000000000000000
43800000000000000;-4700000000000000;5060000000000000
34500000000000000;-13600000000000000;3670000000000000
3850000000000000;-57100000000000000;3560000000000000
937000000000000;-85000000000000;2810000000000000
32700000000000000;-13000000000000000;5090000000000000
5130000000000000;-6190000000000000;40200000000000000
33400000000000000;-13600000000000000;598000000000000
11900000000000000;-6800000000000000;31000000000000000
32200000000000000;-20800000000000000;43500000000000000
32100000000000000;-12500000000000000;4700000000000000
31300000000000000;-1330000000000000;42700000000000000
5090000000000000;-6270000000000000;5240000000000000
10500000000000000;-7050000000000000;4040000000000000
925000000000000;10500000000000000;47200000000000000
3400000000000000;-12300000000000000;3130000000000000
12000000000000000;-7880000000000000;44700000000000000
9830000000000000;-9420000000000000;41600000000000000
9550000000000000;-11300000000000000;4190000000000000
890000000000000;-15400000000000000;3350000000000000
3140000000000000;-14000000000000000;2650000000000000
10500000000000000;-6650000000000000;4350000000000000
33300000000000000;-12700000000000000;47500000000000000
22900000000000000;-6180000000000000;18200000000000000
1010000000000000;-14500000000000000;31900000000000000
10300000000000000;-8030000000000000;3370000000000000
32000000000000000;-14300000000000000;5820000000000000
3000000000000000;-13600000000000000;5050000000000000
9080000000000000;-2780000000000000;34600000000000000
4470000000000000;-6950000000000000;20000000000000000
9150000000000000;-8660000000000000;4140000000000000
10500000000000000;-7720000000000000;18100000000000000
2290000000000000;-6890000000000000;4630000000000000
32400000000000000;13900000000000000;31800000000000000
9230000000000000;-2070000000000000;3810000000000000
10900000000000000;-8860000000000000;2950000000000000
4070000000000000;-6320000000000000;30300000000000000
32800000000000000;-16000000000000000;4090000000000000
10500000000000000;-13600000000000000;36500000000000000
3270000000000000;-1600000000000000;3070000000000000
4370000000000000;-6280000000000000;5020000000000000
3270000000000000;-14300000000000000;49700000000000000
3360000000000000;-3110000000000000;3650000000000000
3430000000000000;-1080000000000000;31700000000000000
28400000000000000;-5670000000000000;29100000000000000
3130000000000000;-11700000000000000;3270000000000000
327000000000000;-12100000000000000;406000000000000
52600000000000000;-6040000000000000;47500000000000000
49300000000000000;-4910000000000000;5120000000000000
10400000000000000;-7780000000000000;4220000000000000
1110000000000000;-8420000000000000;3160000000000000
3190000000000000;-14600000000000000;4970000000000000
10400000000000000;-52400000000000000;35500000000000000
3230000000000000;-27100000000000000;35600000000000000
20600000000000000;-5810000000000000;4860000000000000
48400000000000000;-43000000000000000;30100000000000000
3160000000000000;-1410000000000000;14300000000000000
10500000000000000;-1480000000000000;3570000000000000
11500000000000000;-686000000000000;5870000000000000
10100000000000000;-9870000000000000;17200000000000000
791000000000000;-24500000000000000;46000000000000000
2950000000000000;-654000000000000;4780000000000000
3490000000000000;-1910000000000000;31200000000000000
3160000000000000;-1420000000000000;4160000000000000
3320000000000000;-12500000000000000;4190000000000000
3160000000000000;-13300000000000000;30700000000000000
31800000000000000;-14100000000000000;4300000000000000
33000000000000000;-2080000000000000;32200000000000000
10400000000000000;-15500000000000000;5800000000000000
30400000000000000;-7370000000000000;45600000000000000
1040000000000000;-8270000000000000;39900000000000000
784000000000000;-10500000000000000;37600000000000000
10900000000000000;-858000000000000;4230000000000000
4480000000000000;-5260000000000000;5400000000000000
4340000000000000;-573000000000000;28900000000000000
45400000000000000;-51100000000000000;38300000000000000
11000000000000000;-1870000000000000;1510000000000000
3370000000000000;-14900000000000000;30000000000000000
30600000000000000;-5910000000000000;3830000000000000
9510000000000000;-225000000000000;41100000000000000
32600000000000000;-24700000000000000;43900000000000000
8610000000000000;-15700000000000000;3500000000000000
3490000000000000;-13700000000000000;49600000000000000
42500000000000000;-730000000000000;49700000000000000
3450000000000000;-13600000000000000;2970000000000000
32700000000000000;2700000000000000;42500000000000000
3510000000000000;-2020000000000000;37000000000000000
35500000000000000;-1810000000000000;43500000000000000
9930000000000000;-20900000000000000;3330000000000000
3440000000000000;42800000000000000;4020000000000000
12200000000000000;-9670000000000000;5970000000000000
10200000000000000;-9640000000000000;39000000000000000
4810000000000000;-5800000000000000;3270000000000000
3200000000000000;-4680000000000000;4390000000000000
31900000000000000;-32700000000000000;3410000000000000
9840000000000000;-8640000000000000;5950000000000000
941000000000000;-3020000000000000;34400000000000000
1150000000000000;-8760000000000000;4240000000000000
32800000000000000;-28900000000000000;2390000000000000
3130000000000000;-13000000000000000;27900000000000000
3410000000000000;-14700000000000000;5080000000000000
3380000000000000;-6130000000000000;38000000000000000
9460000000000000;-24200000000000000;4880000000000000
31900000000000000;-13700000000000000;2510000000000000
32200000000000000;-1440000000000000;27000000000000000
3340000000000000;-1410000000000000;2450000000000000
34200000000000000;-143000000000000;23900000000000000
1270000000000000;-8300000000000000;34900000000000000
3070000000000000;-13500000000000000;47700000000000000
10000000000000000;-25700000000000000;40800000000000000
981000000000000;9330000000000000;23300000000000000
3440000000000000;-54200000000000000;5510000000000000
4470000000000000;-7910000000000000;43100000000000000
5320000000000000;-631000000000000;34600000000000000
11300000000000000;-8530000000000000;33500000000000000
9360000000000000;-5810000000000000;5100000000000000
400000000000000;-5230000000000000;37600000000000000
12300000000000000;-7950000000000000;34600000000000000
11800000000000000;-883000000000000;39800000000000000
9840000000000000;-1630000000000000;4250000000000000
7670000000000000;-2670000000000000;3770000000000000
10400000000000000;-8760000000000000;3680000000000000
33700000000000000;-15600000000000000;5200000000000000
10400000000000000;-7870000000000000;3230000000000000
9620000000000000;-8050000000000000;20200000000000000
3650000000000000;-699000000000000;5170000000000000
3180000000000000;-26600000000000000;23100000000000000
32800000000000;-1420000000000000;3540000000000000
9880000000000000;-6490000000000000;4860000000000000
8590000000000000;-9600000000000000;31100000000000000
3170000000000000;-14400000000000000;41500000000000000
3420000000000000;-14400000000000000;36400000000000000
32300000000000000;-616000000000000;581000000000000
3370000000000000;-2920000000000000;36000000000000000
8550000000000000;-2820000000000000;3140000000000000
34000000000000000;-1510000000000000;4410000000000000
3420000000000000;-1120000000000000;5260000000000000
9970000000000000;-2620000000000000;3820000000000000
4130000000000000;-5250000000000000;17800000000000000
3290000000000000;-15600000000000000;38000000000000000
3280000000000000;-16800000000000000;21600000000000000
32300000000000000;-15200000000000000;3020000000000000
50400000000000000;-563000000000000;5220000000000000
516000000000000;-4470000000000000;4200000000000000
3180000000000000;-1570000000000000;5040000000000000
11100000000000000;-22100000000000000;254000000000000
10400000000000000;-2790000000000000;2650000000000000
10100000000000000;-7660000000000000;28000000000000000
3280000000000000;-21300000000000000;5980000000000000
12800000000000000;-8020000000000000;38200000000000000
35300000000000000;-4110000000000000;3460000000000000
31400000000000000;-1640000000000000;4490000000000000
11200000000000000;-44100000000000000;3280000000000000
3320000000000000;-7040000000000000;42600000000000000
8340000000000000;-15300000000000000;40800000000000000
9920000000000;-1680000000000000;4230000000000000
9730000000000000;-8040000000000000;3060000000000000
3280000000000000;-1320000000000000;4330000000000000
33200000000000000;-1520000000000000;5900000000000000
3290000000000000;-14800000000000000;5110000000000000
10200000000000000;-5860000000000000;43800000000000000
3350000000000000;-1480000000000000;38100000000000000
9540000000000000;-2770000000000000;3130000000000000
12300000000000000;-6920000000000000;30200000000000000
3100000000000000;-10600000000000000;4600000000000000
7820000000000000;-22800000000000000;40300000000000000
9910000000000000;-7910000000000000;36600000000000000
34100000000000000;-189000000000000;4240000000000000
9420000000000000;-9340000000000000;19200000000000000
3240000000000000;-1420000000000000;35800000000000000
10100000000000000;-13400000000000000;3860000000000000
8790000000000000;-7990000000000000;33400000000000000
33600000000000000;-14400000000000000;4190000000000000
3410000000000000;-14700000000000000;2960000000000000
977000000000000;-11300000000000000;4390000000000000
32700000000000000;-20100000000000000;358000000000000
3200000000000000;-13000000000000000;3770000000000000
9390000000000000;-7450000000000000;47400000000000000
8410000000000000;-3270000000000000;3960000000000000
21300000000000000;-6340000000000000;38500000000000000
3390000000000000;-36700000000000000;3970000000000000
11100000000000000;-726000000000000;3190000000000000
52500000000000000;-6720000000000000;39000000000000000
11000000000000000;-8510000000000000;36900000000000000
3110000000000000;-15100000000000000;444000000000000
3160000000000000;-14500000000000000;36600000000000000
36500000000000000;-5720000000000000;37400000000000
3290000000000000;-62300000000000000;5160000000000000
21900000000000000;-57200000000000000;4440000000000000
9240000000000000;-15500000000000000;29000000000000000
33000000000000000;-13400000000000000;43400000000000000
3460000000000000;-10500000000000000;4500000000000000
3430000000000000;-1140000000000000;5420000000000000
10700000000000000;-7560000000000000;3310000000000000
9970000000000000;-30200000000000000;4050000000000000
48000000000000000;-5130000000000000;3900000000000000
7470000000000000;-9340000000000000;45400000000000000
34500000000000000;-1310000000000000;4960000000000000
29900000000000000;-6460000000000000;30400000000000000
3580000000000000;-981000000000000;4710000000000000
8830000000000000;-2300000000000000;4760000000000000
10700000000000000;-6630000000000000;446000000000000
34600000000000000;-18200000000000000;18800000000000000
11300000000000000;-2100000000000000;32700000000000000
7880000000000000;-20200000000000000;3430000000000000
3550000000000000;-6760000000000000;3870000000000000
11700000000000000;-7110000000000000;4430000000000000
9670000000000000;-8210000000000000;43100000000000
4080000000000000;-5260000000000000;2980000000000000
2480000000000000;-5410000000000000;4500000000000000
9960000000000000;-9350000000000000;4490000000000000
9410000000000000;-4180000000000000;19900000000000000
32200000000000000;-9070000000000000;30400000000000000
34600000000000000;-3160000000000000;4340000000000000
34600000000000000;-941000000000000;3570000000000000
3330000000000000;-15100000000000000;29700000000000000
3370000000000000;-15000000000000000;37200000000000000
4430000000000000;-62100000000000000;39800000000000000
35500000000000000;-1890000000000000;2910000000000000
3500000000000000;-9610000000000000;3810000000000000
3270000000000000;738000000000;4870000000000000
1100000000000000;-23700000000000000;27000000000000000
9670000000000000;-13400000000000000;5140000000000000
11000000000000000;-9470000000000000;4220000000000000
11500000000000000;-8490000000000000;16400000000000000
976000000000000;-17700000000000000;5240000000000000
3150000000000000;-13400000000000000;42500000000000000
10200000000000000;-18800000000000000;5300000000000000
3100000000000000;-1390000000000000;5060000000000000
3450000000000000;-14300000000000000;23600000000000000
10800000000000000;-702000000000000;3040000000000000
11400000000000000;-8080000000000000;42800000000000000
3480000000000000;-7590000000000000;385000000000000
3360000000000000;-1680000000000000;30400000000000000
1070000000000000;-30500000000000000;2660000000000000
11800000000000000;-8700000000000000;5080000000000000
9000000000000000;-2630000000000000;2740000000000000
11700000000000000;-7810000000000000;30600000000000000
28200000000000000;-6700000000000000;2950000000000000
9820000000000000;-3720000000000000;21000000000000000
